Target,Horizon,Model,RMSE,Time
temp,1h,LinearReg,1.6329571531012357,0.00458979606628418
temp,1h,RandomForest,1.1719454952429043,0.7310378551483154
temp,1h,XGBoost,1.1732797081470128,0.1918179988861084
precip,1h,LinearReg,2.5853709264270073,0.005041837692260742
precip,1h,RandomForest,2.674434706918087,0.7880091667175293
precip,1h,XGBoost,2.5930111508850815,0.13416409492492676
humidity,1h,LinearReg,5.011478856619007,0.004650115966796875
humidity,1h,RandomForest,4.669704595313209,0.7877910137176514
humidity,1h,XGBoost,4.584085920521233,0.13831591606140137
temp,24h,LinearReg,1.7981629526702028,0.004177093505859375
temp,24h,RandomForest,1.5558501639812659,0.8032891750335693
temp,24h,XGBoost,1.5354585044935114,0.13982200622558594
precip,24h,LinearReg,2.536143001239048,0.0042040348052978516
precip,24h,RandomForest,2.583378283726047,0.7334821224212646
precip,24h,XGBoost,2.5157637428395487,0.1555941104888916
humidity,24h,LinearReg,8.502124629603454,0.0042569637298583984
humidity,24h,RandomForest,8.04991937754279,0.7294151782989502
humidity,24h,XGBoost,7.935287984004417,0.13786697387695312
temp,48h,LinearReg,1.8680807237630601,0.004285097122192383
temp,48h,RandomForest,1.6187560414602304,0.7527627944946289
temp,48h,XGBoost,1.6044379666320976,0.14787602424621582
precip,48h,LinearReg,2.5716152164071606,0.0043239593505859375
precip,48h,RandomForest,2.7663837055984173,0.689298152923584
precip,48h,XGBoost,2.848724568713525,0.1512758731842041
humidity,48h,LinearReg,9.488191916310647,0.004158973693847656
humidity,48h,RandomForest,8.723252767299865,0.7006831169128418
humidity,48h,XGBoost,8.606550263083708,0.1455380916595459
